batsman,Matches Played,Not Outs,Runs,Balls Faced,Highest Score,Average,Strike Rate,100's,50's,6's,4's
A Ashish Reddy,23.0,8.0,280.0,196.0,36.0,18.67,142.86,0.0,0.0,15.0,16.0
A Chandila,2.0,1.0,4.0,7.0,4.0,4.0,57.14,0.0,0.0,0.0,0.0
A Chopra,6.0,1.0,53.0,75.0,24.0,10.6,70.67,0.0,0.0,0.0,7.0
A Choudhary,3.0,1.0,25.0,20.0,15.0,12.5,125.0,0.0,0.0,1.0,1.0
A Dananjaya,1.0,1.0,4.0,5.0,4.0,4.0,80.0,0.0,0.0,0.0,0.0
A Flintoff,3.0,1.0,62.0,57.0,24.0,31.0,108.77,0.0,0.0,2.0,5.0
A Kumble,15.0,13.0,35.0,49.0,8.0,17.5,71.43,0.0,0.0,0.0,3.0
A Mishra,54.0,24.0,362.0,410.0,31.0,12.07,88.29,0.0,0.0,5.0,29.0
A Mithun,6.0,1.0,34.0,26.0,11.0,6.8,130.77,0.0,0.0,1.0,4.0
A Mukund,2.0,0.0,19.0,23.0,19.0,9.5,82.61,0.0,0.0,0.0,1.0
A Nehra,17.0,9.0,41.0,63.0,22.0,5.12,65.08,0.0,0.0,1.0,3.0
A Nortje,3.0,2.0,7.0,6.0,3.0,7.0,116.67,0.0,0.0,0.0,0.0
A Singh,5.0,1.0,2.0,10.0,1.0,0.5,20.0,0.0,0.0,0.0,0.0
A Symonds,36.0,10.0,974.0,781.0,117.0,37.46,124.71,1.0,5.0,41.0,74.0
A Uniyal,2.0,1.0,4.0,7.0,4.0,4.0,57.14,0.0,0.0,0.0,0.0
A Zampa,2.0,0.0,5.0,8.0,5.0,2.5,62.5,0.0,0.0,0.0,1.0
AA Bilakhia,7.0,2.0,69.0,88.0,22.0,13.8,78.41,0.0,0.0,0.0,5.0
AA Chavan,3.0,2.0,12.0,11.0,7.0,12.0,109.09,0.0,0.0,0.0,2.0
AA Jhunjhunwala,15.0,1.0,217.0,218.0,53.0,15.5,99.54,0.0,1.0,5.0,19.0
AA Noffke,1.0,0.0,9.0,12.0,9.0,9.0,75.0,0.0,0.0,0.0,1.0
AB Agarkar,18.0,10.0,179.0,160.0,39.0,22.38,111.87,0.0,0.0,5.0,13.0
AB Barath,3.0,1.0,42.0,43.0,33.0,21.0,97.67,0.0,0.0,1.0,5.0
AB Dinda,16.0,7.0,26.0,50.0,7.0,2.89,52.0,0.0,0.0,0.0,2.0
AB McDonald,9.0,4.0,123.0,103.0,33.0,24.6,119.42,0.0,0.0,4.0,9.0
AB de Villiers,156.0,42.0,4849.0,3264.0,133.0,42.54,148.56,3.0,38.0,235.0,390.0
AC Blizzard,7.0,0.0,120.0,91.0,51.0,17.14,131.87,0.0,1.0,2.0,21.0
AC Gilchrist,80.0,4.0,2069.0,1555.0,109.0,27.22,133.05,2.0,11.0,92.0,239.0
AC Thomas,4.0,2.0,20.0,19.0,12.0,10.0,105.26,0.0,0.0,1.0,1.0
AC Voges,7.0,1.0,181.0,143.0,45.0,30.17,126.57,0.0,0.0,3.0,15.0
AD Hales,6.0,0.0,148.0,119.0,45.0,24.67,124.37,0.0,0.0,6.0,13.0
AD Mascarenhas,11.0,1.0,79.0,79.0,27.0,7.9,100.0,0.0,0.0,1.0,5.0
AD Mathews,41.0,10.0,724.0,599.0,65.0,23.35,120.87,0.0,1.0,29.0,44.0
AD Nath,10.0,0.0,90.0,99.0,24.0,9.0,90.91,0.0,0.0,2.0,7.0
AD Russell,61.0,11.0,1517.0,882.0,88.0,30.34,172.0,0.0,8.0,129.0,105.0
AF Milne,3.0,0.0,7.0,12.0,5.0,2.33,58.33,0.0,0.0,0.0,0.0
AG Murtaza,3.0,2.0,10.0,14.0,5.0,10.0,71.43,0.0,0.0,0.0,1.0
AG Paunikar,5.0,0.0,49.0,61.0,20.0,9.8,80.33,0.0,0.0,0.0,9.0
AJ Finch,85.0,7.0,2005.0,1622.0,88.0,25.71,123.61,0.0,14.0,75.0,204.0
AJ Turner,4.0,1.0,3.0,11.0,3.0,1.0,27.27,0.0,0.0,0.0,0.0
AJ Tye,13.0,5.0,91.0,79.0,25.0,11.38,115.19,0.0,0.0,5.0,6.0
AL Menaria,23.0,1.0,401.0,367.0,40.0,18.23,109.26,0.0,0.0,18.0,24.0
AM Nayar,50.0,11.0,672.0,588.0,45.0,17.23,114.29,0.0,0.0,20.0,55.0
AM Rahane,140.0,15.0,3933.0,3325.0,105.0,31.46,118.29,2.0,28.0,76.0,416.0
AN Ahmed,6.0,5.0,36.0,27.0,18.0,36.0,133.33,0.0,0.0,1.0,4.0
AN Ghosh,2.0,0.0,7.0,8.0,7.0,3.5,87.5,0.0,0.0,0.0,1.0
AP Dole,2.0,0.0,34.0,23.0,30.0,17.0,147.83,0.0,0.0,1.0,3.0
AP Majumdar,4.0,0.0,87.0,77.0,31.0,21.75,112.99,0.0,0.0,2.0,7.0
AP Tare,27.0,3.0,339.0,285.0,59.0,14.12,118.95,0.0,1.0,11.0,40.0
AR Bawne,1.0,1.0,12.0,12.0,12.0,12.0,100.0,0.0,0.0,0.0,1.0
AR Patel,71.0,20.0,913.0,745.0,44.0,17.9,122.55,0.0,0.0,43.0,53.0
AS Joseph,1.0,1.0,15.0,13.0,15.0,15.0,115.38,0.0,0.0,0.0,2.0
AS Rajpoot,7.0,3.0,26.0,41.0,8.0,6.5,63.41,0.0,0.0,1.0,2.0
AS Raut,16.0,5.0,194.0,172.0,36.0,17.64,112.79,0.0,0.0,7.0,13.0
AS Yadav,6.0,-1.0,49.0,40.0,16.0,7.0,122.5,0.0,0.0,2.0,5.0
AT Carey,3.0,1.0,32.0,29.0,14.0,16.0,110.34,0.0,0.0,1.0,0.0
AT Rayudu,149.0,26.0,3659.0,2970.0,100.0,29.75,123.2,1.0,19.0,132.0,308.0
AUK Pathan,7.0,2.0,39.0,26.0,14.0,7.8,150.0,0.0,0.0,2.0,5.0
Abdul Samad,7.0,2.0,111.0,66.0,33.0,22.2,168.18,0.0,0.0,6.0,8.0
Abdur Razzak,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abhishek Sharma,13.0,5.0,143.0,104.0,46.0,17.88,137.5,0.0,0.0,8.0,10.0
Anirudh Singh,4.0,0.0,63.0,69.0,40.0,15.75,91.3,0.0,0.0,1.0,6.0
Ankit Sharma,10.0,3.0,87.0,69.0,30.0,12.43,126.09,0.0,0.0,4.0,7.0
Ankit Soni,3.0,1.0,7.0,9.0,7.0,3.5,77.78,0.0,0.0,1.0,0.0
Anureet Singh,8.0,4.0,36.0,47.0,15.0,9.0,76.6,0.0,0.0,1.0,2.0
Arshdeep Singh,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Avesh Khan,1.0,1.0,4.0,3.0,4.0,4.0,133.33,0.0,0.0,0.0,1.0
Azhar Mahmood,21.0,2.0,388.0,311.0,80.0,20.42,124.76,0.0,2.0,13.0,39.0
B Akhil,11.0,4.0,76.0,57.0,27.0,10.86,133.33,0.0,0.0,5.0,5.0
B Chipli,21.0,5.0,280.0,256.0,61.0,17.5,109.38,0.0,1.0,7.0,28.0
B Kumar,42.0,18.0,183.0,199.0,24.0,7.62,91.96,0.0,0.0,3.0,17.0
B Laughlin,4.0,2.0,5.0,13.0,4.0,2.5,38.46,0.0,0.0,0.0,0.0
B Lee,19.0,9.0,124.0,102.0,25.0,12.4,121.57,0.0,0.0,8.0,8.0
B Stanlake,1.0,1.0,5.0,2.0,5.0,5.0,250.0,0.0,0.0,0.0,1.0
B Sumanth,4.0,3.0,35.0,38.0,16.0,35.0,92.11,0.0,0.0,0.0,3.0
BA Bhatt,2.0,2.0,6.0,7.0,6.0,6.0,85.71,0.0,0.0,1.0,0.0
BA Stokes,40.0,2.0,920.0,700.0,107.0,24.21,131.43,2.0,2.0,32.0,79.0
BAW Mendis,3.0,1.0,3.0,6.0,2.0,1.5,50.0,0.0,0.0,0.0,0.0
BB McCullum,109.0,3.0,2880.0,2267.0,158.0,27.17,127.04,2.0,13.0,130.0,293.0
BB Samantray,8.0,3.0,125.0,116.0,55.0,25.0,107.76,0.0,1.0,2.0,13.0
BB Sran,7.0,6.0,10.0,14.0,3.0,10.0,71.43,0.0,0.0,0.0,0.0
BCJ Cutting,17.0,6.0,238.0,146.0,39.0,21.64,163.01,0.0,0.0,19.0,15.0
BE Hendricks,2.0,1.0,1.0,3.0,1.0,1.0,33.33,0.0,0.0,0.0,0.0
BJ Haddin,1.0,0.0,18.0,11.0,18.0,18.0,163.64,0.0,0.0,1.0,2.0
BJ Hodge,63.0,17.0,1400.0,1153.0,73.0,30.43,121.42,0.0,6.0,43.0,122.0
BJ Rohrer,8.0,2.0,193.0,145.0,64.0,32.17,133.1,0.0,1.0,5.0,21.0
BMAJ Mendis,3.0,0.0,23.0,27.0,12.0,7.67,85.19,0.0,0.0,0.0,0.0
BR Dunk,3.0,0.0,40.0,36.0,20.0,13.33,111.11,0.0,0.0,0.0,7.0
Basil Thampi,7.0,5.0,32.0,37.0,13.0,16.0,86.49,0.0,0.0,1.0,1.0
Bipul Sharma,17.0,11.0,187.0,124.0,35.0,31.17,150.81,0.0,0.0,9.0,11.0
C Madan,1.0,0.0,15.0,21.0,15.0,15.0,71.43,0.0,0.0,0.0,3.0
C Munro,11.0,2.0,177.0,144.0,40.0,19.67,122.92,0.0,0.0,8.0,19.0
C Nanda,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C de Grandhomme,21.0,6.0,303.0,229.0,40.0,20.2,132.31,0.0,0.0,18.0,18.0
CA Ingram,15.0,3.0,205.0,183.0,47.0,17.08,112.02,0.0,0.0,5.0,22.0
CA Lynn,41.0,4.0,1280.0,938.0,93.0,34.59,136.46,0.0,10.0,63.0,128.0
CA Pujara,22.0,4.0,390.0,403.0,51.0,21.67,96.77,0.0,1.0,4.0,50.0
CH Gayle,131.0,15.0,4772.0,3342.0,175.0,41.14,142.79,6.0,31.0,349.0,384.0
CH Morris,42.0,18.0,551.0,360.0,82.0,22.96,153.06,0.0,2.0,30.0,39.0
CJ Anderson,29.0,7.0,538.0,436.0,95.0,24.45,123.39,0.0,3.0,31.0,40.0
CJ Ferguson,8.0,2.0,98.0,119.0,23.0,16.33,82.35,0.0,0.0,0.0,9.0
CJ Jordan,6.0,2.0,32.0,38.0,13.0,8.0,84.21,0.0,0.0,0.0,2.0
CJ McKay,1.0,0.0,8.0,15.0,8.0,8.0,53.33,0.0,0.0,0.0,0.0
CK Kapugedera,3.0,0.0,16.0,24.0,8.0,5.33,66.67,0.0,0.0,0.0,0.0
CK Langeveldt,2.0,0.0,8.0,9.0,8.0,4.0,88.89,0.0,0.0,1.0,0.0
CL White,45.0,10.0,954.0,769.0,78.0,27.26,124.06,0.0,6.0,36.0,76.0
CM Gautam,13.0,4.0,169.0,158.0,33.0,18.78,106.96,0.0,0.0,6.0,17.0
CR Brathwaite,14.0,0.0,181.0,120.0,43.0,12.93,150.83,0.0,0.0,16.0,10.0
CR Woakes,11.0,6.0,63.0,66.0,18.0,12.6,95.45,0.0,0.0,2.0,5.0
CRD Fernando,2.0,1.0,4.0,3.0,2.0,4.0,133.33,0.0,0.0,0.0,0.0
CV Varun,3.0,1.0,10.0,16.0,7.0,5.0,62.5,0.0,0.0,0.0,0.0
