,id,batsman,bowler,No Of Balls Faced,Out / Not Out,Dismissal Kind
0,335982,AA Noffke,AB Agarkar,8,0,NIL
1,335982,AA Noffke,SC Ganguly,4,1,run out
2,335982,B Akhil,AB Agarkar,2,1,caught
3,335982,BB McCullum,AA Noffke,13,0,NIL
4,335982,BB McCullum,CL White,4,0,NIL
5,335982,BB McCullum,JH Kallis,17,0,NIL
6,335982,BB McCullum,P Kumar,17,0,NIL
7,335982,BB McCullum,SB Joshi,11,0,NIL
8,335982,BB McCullum,Z Khan,15,0,NIL
9,335982,CL White,AB Agarkar,6,1,caught
10,335982,CL White,AB Dinda,1,0,NIL
11,335982,CL White,SC Ganguly,3,0,NIL
12,335982,DJ Hussey,AA Noffke,4,1,caught
13,335982,DJ Hussey,CL White,3,0,NIL
14,335982,DJ Hussey,SB Joshi,3,0,NIL
15,335982,DJ Hussey,Z Khan,2,0,NIL
16,335982,JH Kallis,AB Agarkar,4,1,caught
17,335982,JH Kallis,AB Dinda,1,0,NIL
18,335982,JH Kallis,I Sharma,2,0,NIL
19,335982,MV Boucher,AB Agarkar,5,0,NIL
20,335982,MV Boucher,AB Dinda,3,0,NIL
21,335982,MV Boucher,SC Ganguly,3,1,caught
22,335982,Mohammad Hafeez,AA Noffke,2,0,NIL
23,335982,Mohammad Hafeez,JH Kallis,1,0,NIL
24,335982,P Kumar,AB Agarkar,2,0,NIL
25,335982,P Kumar,I Sharma,2,0,NIL
26,335982,P Kumar,LR Shukla,3,0,NIL
27,335982,P Kumar,SC Ganguly,10,0,NIL
28,335982,R Dravid,AB Dinda,2,0,NIL
29,335982,R Dravid,I Sharma,1,1,bowled
30,335982,RT Ponting,AA Noffke,3,0,NIL
31,335982,RT Ponting,JH Kallis,7,1,caught
32,335982,RT Ponting,SB Joshi,4,0,NIL
33,335982,RT Ponting,Z Khan,6,0,NIL
34,335982,SB Joshi,I Sharma,5,0,NIL
35,335982,SB Joshi,LR Shukla,2,1,caught
36,335982,SB Joshi,SC Ganguly,1,0,NIL
37,335982,SC Ganguly,AA Noffke,3,0,NIL
38,335982,SC Ganguly,P Kumar,8,0,NIL
39,335982,SC Ganguly,Z Khan,1,1,caught
40,335982,V Kohli,AB Dinda,2,1,bowled
41,335982,V Kohli,I Sharma,3,0,NIL
42,335982,W Jaffer,AB Agarkar,1,0,NIL
43,335982,W Jaffer,AB Dinda,11,1,caught
44,335982,W Jaffer,I Sharma,6,0,NIL
45,335982,Z Khan,LR Shukla,4,0,NIL
46,335982,Z Khan,SC Ganguly,4,1,bowled
47,335983,IK Pathan,JDP Oram,2,0,NIL
48,335983,IK Pathan,Joginder Sharma,2,0,NIL
49,335983,IK Pathan,M Muralitharan,1,0,NIL
50,335983,JDP Oram,IK Pathan,3,1,bowled
51,335983,JDP Oram,JR Hopes,2,0,NIL
52,335983,JDP Oram,WA Mota,6,0,NIL
53,335983,JR Hopes,JDP Oram,11,0,NIL
54,335983,JR Hopes,Joginder Sharma,4,0,NIL
55,335983,JR Hopes,M Muralitharan,6,0,NIL
56,335983,JR Hopes,MS Gony,7,0,NIL
57,335983,JR Hopes,P Amarnath,6,1,caught
58,335983,K Goel,JDP Oram,7,0,NIL
59,335983,K Goel,MS Gony,13,1,caught
60,335983,KC Sangakkara,Joginder Sharma,12,0,NIL
61,335983,KC Sangakkara,M Muralitharan,11,1,caught
