bowler,Mat,Inns,Overs,Runs,Wickets,Average,Economy,SR,4Wkts,5Wkts
SL Malinga,122.0,122.0,471.1666666666667,3363.0,170.0,19.78,7.14,16.63,6.0,1.0
A Mishra,150.0,150.0,526.8333333333334,3867.0,160.0,24.17,7.34,19.76,3.0,1.0
PP Chawla,163.0,163.0,541.6666666666667,4263.0,156.0,27.33,7.87,20.83,2.0,0.0
DJ Bravo,137.0,137.0,452.0,3798.0,153.0,24.82,8.4,17.73,2.0,0.0
Harbhajan Singh,157.0,157.0,562.3333333333334,3967.0,150.0,26.45,7.05,22.49,1.0,1.0
R Ashwin,151.0,151.0,538.3333333333334,3700.0,138.0,26.81,6.87,23.41,1.0,0.0
B Kumar,121.0,121.0,449.5,3253.0,136.0,23.92,7.24,19.83,2.0,1.0
SP Narine,119.0,119.0,464.16666666666663,3147.0,127.0,24.78,6.78,21.93,6.0,1.0
YS Chahal,98.0,98.0,355.0,2723.0,121.0,22.5,7.67,17.6,2.0,0.0
UT Yadav,120.0,120.0,420.5,3578.0,119.0,30.07,8.51,21.2,2.0,0.0
RA Jadeja,155.0,155.0,452.1666666666667,3470.0,114.0,30.44,7.67,23.8,3.0,1.0
JJ Bumrah,92.0,92.0,348.66666666666663,2587.0,109.0,23.73,7.42,19.19,2.0,0.0
Sandeep Sharma,92.0,92.0,342.83333333333337,2646.0,109.0,24.28,7.72,18.87,2.0,0.0
A Nehra,88.0,88.0,318.0,2495.0,106.0,23.54,7.85,18.0,1.0,0.0
R Vinay Kumar,104.0,104.0,353.5,2966.0,105.0,28.25,8.39,20.2,1.0,0.0
Z Khan,99.0,99.0,366.66666666666663,2782.0,103.0,27.01,7.59,21.36,1.0,0.0
DW Steyn,95.0,95.0,362.6666666666667,2508.0,97.0,25.86,6.92,22.43,0.0,0.0
SR Watson,105.0,105.0,338.16666666666663,2682.0,92.0,29.15,7.93,22.05,1.0,0.0
MM Sharma,86.0,86.0,292.3333333333333,2470.0,92.0,26.85,8.45,19.07,1.0,0.0
RP Singh,82.0,82.0,295.83333333333337,2338.0,90.0,25.98,7.9,19.72,2.0,0.0
P Kumar,119.0,119.0,420.6666666666667,3251.0,90.0,36.12,7.73,28.04,0.0,0.0
PP Ojha,90.0,90.0,316.3333333333333,2332.0,89.0,26.2,7.37,21.33,0.0,0.0
DS Kulkarni,91.0,91.0,293.83333333333337,2426.0,86.0,28.21,8.26,20.5,1.0,0.0
JA Morkel,87.0,87.0,287.1666666666667,2359.0,85.0,27.75,8.21,20.27,1.0,0.0
JD Unadkat,79.0,79.0,274.0,2420.0,82.0,29.51,8.83,20.05,0.0,2.0
CH Morris,70.0,70.0,245.66666666666666,1919.0,80.0,23.99,7.81,18.42,3.0,0.0
IK Pathan,101.0,101.0,340.5,2649.0,80.0,33.11,7.78,25.54,0.0,0.0
Imran Tahir,58.0,58.0,215.33333333333331,1687.0,80.0,21.09,7.83,16.15,3.0,0.0
AR Patel,96.0,96.0,336.5,2456.0,80.0,30.7,7.3,25.24,1.0,0.0
M Morkel,70.0,70.0,271.5,2089.0,77.0,27.13,7.69,21.16,1.0,0.0
L Balaji,73.0,73.0,252.0,2028.0,76.0,26.68,8.05,19.89,3.0,1.0
Rashid Khan,62.0,62.0,246.0,1537.0,75.0,20.49,6.25,19.68,0.0,0.0
MM Patel,63.0,63.0,225.83333333333331,1698.0,74.0,22.95,7.52,18.31,2.0,1.0
R Bhatia,91.0,91.0,272.66666666666663,2020.0,71.0,28.45,7.41,23.04,1.0,0.0
MJ McClenaghan,56.0,56.0,212.33333333333334,1803.0,71.0,25.39,8.49,17.94,1.0,0.0
I Sharma,90.0,90.0,320.83333333333337,2604.0,71.0,36.68,8.12,27.11,0.0,1.0
AB Dinda,75.0,75.0,252.66666666666666,2073.0,69.0,30.04,8.2,21.97,1.0,0.0
SK Trivedi,75.0,75.0,251.0,1904.0,65.0,29.29,7.59,23.17,1.0,0.0
JH Kallis,89.0,89.0,290.3333333333333,2293.0,65.0,35.28,7.9,26.8,0.0,0.0
M Muralitharan,66.0,66.0,254.0,1696.0,63.0,26.92,6.68,24.19,0.0,0.0
TA Boult,48.0,48.0,184.83333333333334,1577.0,63.0,25.03,8.53,17.6,1.0,0.0
AD Russell,68.0,68.0,191.16666666666666,1713.0,61.0,28.08,8.96,18.8,1.0,0.0
K Rabada,35.0,35.0,134.16666666666666,1103.0,61.0,18.08,8.22,13.2,4.0,0.0
MG Johnson,54.0,54.0,205.33333333333334,1702.0,61.0,27.9,8.29,20.2,0.0,0.0
KA Pollard,92.0,92.0,220.83333333333334,1960.0,60.0,32.67,8.88,22.08,1.0,0.0
Mohammed Shami,63.0,63.0,225.66666666666669,2007.0,60.0,33.45,8.89,22.57,0.0,0.0
KV Sharma,66.0,66.0,203.66666666666666,1610.0,60.0,26.83,7.91,20.37,2.0,0.0
Shakib Al Hasan,62.0,62.0,221.33333333333331,1652.0,59.0,28.0,7.46,22.51,0.0,0.0
JP Faulkner,60.0,60.0,204.5,1778.0,59.0,30.14,8.69,20.8,0.0,2.0
SK Warne,54.0,54.0,199.0,1447.0,57.0,25.39,7.27,20.95,1.0,0.0
S Kaul,46.0,46.0,167.5,1449.0,51.0,28.41,8.65,19.71,1.0,0.0
S Gopal,44.0,44.0,148.16666666666666,1164.0,48.0,24.25,7.86,18.52,1.0,0.0
S Nadeem,69.0,69.0,231.83333333333331,1748.0,47.0,37.19,7.54,29.6,0.0,0.0
SB Jakati,57.0,57.0,180.83333333333331,1451.0,47.0,30.87,8.02,23.09,2.0,0.0
SN Thakur,44.0,44.0,150.16666666666666,1340.0,46.0,29.13,8.92,19.59,0.0,0.0
HV Patel,46.0,46.0,154.33333333333334,1349.0,46.0,29.33,8.74,20.13,0.0,0.0
KH Pandya,69.0,69.0,207.5,1508.0,46.0,32.78,7.27,27.07,0.0,0.0
JC Archer,35.0,35.0,137.83333333333334,979.0,46.0,21.28,7.1,17.98,0.0,0.0
RJ Harris,37.0,37.0,138.66666666666666,1047.0,45.0,23.27,7.55,18.49,1.0,0.0
DL Chahar,48.0,48.0,166.66666666666666,1271.0,45.0,28.24,7.63,22.22,0.0,0.0
A Kumble,42.0,42.0,160.83333333333334,1058.0,45.0,23.51,6.58,21.44,2.0,1.0
S Aravind,38.0,38.0,126.66666666666666,1039.0,45.0,23.09,8.2,16.89,2.0,0.0
VR Aaron,48.0,48.0,160.66666666666669,1429.0,42.0,34.02,8.89,22.95,0.0,0.0
HH Pandya,60.0,60.0,144.83333333333331,1313.0,42.0,31.26,9.07,20.69,0.0,0.0
YK Pathan,82.0,82.0,191.16666666666666,1415.0,42.0,33.69,7.4,27.31,0.0,0.0
S Sreesanth,44.0,44.0,146.66666666666669,1194.0,41.0,29.12,8.14,21.46,0.0,0.0
NM Coulter-Nile,32.0,32.0,119.83333333333334,925.0,41.0,22.56,7.72,17.54,1.0,0.0
R Sharma,44.0,44.0,154.66666666666666,1086.0,40.0,27.15,7.02,23.2,0.0,0.0
Kuldeep Yadav,43.0,43.0,149.33333333333334,1236.0,40.0,30.9,8.28,22.4,1.0,0.0
AJ Tye,27.0,27.0,103.16666666666667,871.0,40.0,21.78,8.44,15.47,3.0,1.0
Iqbal Abdulla,48.0,48.0,153.33333333333334,1109.0,40.0,27.72,7.23,23.0,0.0,0.0
Mohammed Siraj,35.0,35.0,119.33333333333334,1084.0,40.0,27.1,9.08,17.9,1.0,0.0
P Awana,33.0,33.0,124.5,1029.0,39.0,26.38,8.27,19.15,1.0,0.0
MC Henriques,55.0,55.0,148.33333333333331,1244.0,38.0,32.74,8.39,23.42,0.0,0.0
DE Bollinger,27.0,27.0,96.0,693.0,38.0,18.24,7.22,15.16,1.0,0.0
MS Gony,44.0,44.0,148.0,1287.0,37.0,34.78,8.7,24.0,0.0,0.0
Yuvraj Singh,73.0,73.0,144.83333333333331,1077.0,36.0,29.92,7.44,24.14,2.0,0.0
P Negi,42.0,42.0,119.33333333333333,939.0,35.0,26.83,7.87,20.46,1.0,0.0
PJ Sangwan,39.0,39.0,133.66666666666666,1175.0,35.0,33.57,8.79,22.91,0.0,0.0
DT Christian,40.0,40.0,130.5,1037.0,34.0,30.5,7.95,23.03,0.0,0.0
MA Starc,26.0,26.0,96.66666666666666,693.0,34.0,20.38,7.17,17.06,1.0,0.0
KK Cooper,25.0,25.0,96.0,757.0,33.0,22.94,7.89,17.45,1.0,0.0
M Kartik,55.0,55.0,191.5,1388.0,31.0,44.77,7.25,37.06,0.0,0.0
NLTC Perera,36.0,36.0,116.33333333333333,1016.0,31.0,32.77,8.73,22.52,0.0,0.0
RD Chahar,30.0,30.0,107.0,799.0,30.0,26.63,7.47,21.4,0.0,0.0
AB Agarkar,42.0,42.0,130.33333333333331,1151.0,29.0,39.69,8.83,26.97,0.0,0.0
Azhar Mahmood,23.0,23.0,89.5,700.0,29.0,24.14,7.82,18.52,0.0,0.0
PJ Cummins,30.0,30.0,112.16666666666666,908.0,29.0,31.31,8.1,23.21,1.0,0.0
MP Stoinis,37.0,37.0,90.83333333333334,852.0,28.0,30.43,9.38,19.46,1.0,0.0
BA Stokes,36.0,36.0,112.83333333333334,962.0,28.0,34.36,8.53,24.18,0.0,0.0
TG Southee,40.0,40.0,148.0,1293.0,28.0,46.18,8.74,31.71,0.0,0.0
DP Nannes,29.0,29.0,107.66666666666666,785.0,28.0,28.04,7.29,23.07,0.0,0.0
