Player_Name,DOB,Batting_Hand,Country,ARM,STYLE
A Ashish Reddy,1991-02-24,Right_Hand,India,Right,Medium
A Chandila,1983-12-05,Right_Hand,India,Right,Offbreak
A Chopra,1977-09-19,Right_Hand,India,Right,Offbreak
A Choudhary,1990-01-28,Right_hand,India,Left,Medium-Fast
A Dananjaya,1990-10-04,Right_Hand,Sri Lanka,Right,Offbreak
A Flintoff,1977-12-06,Right_Hand,England,Right,Medium-Fast
A Hales,1989-01-03,Right_hand,England,Right,Medium
A Joseph,1996-11-20,Right_Hand,West Indies,Right,Fast
A Kumble,1970-10-17,Right_Hand,India,Right,Legbreak
A Mishra,1982-11-24,Right_Hand,India,Right,Legbreak
A Mithun,1989-10-25,Right_Hand,India,Right,Medium
A Mukund,1990-01-06,Right_Hand,India,Right,Legbreak
A Nehra,1979-04-29,Right_Hand,India,Left,Medium-Fast
A Nel,1977-07-15,Right_Hand,South Africa,Right,Medium-Fast
A Roy,1998-11-30,Left_Hand,India,Left,Orthodox
A Singh,1981-06-21,Right_Hand,India,Right,Medium-Fast
A Symonds,1975-06-09,Right_Hand,Australia,Right,Offbreak
A Turner,1993-01-23,Right_Hand,Australia,Right,Offbreak
A Uniyal,1981-11-21,Right_Hand,India,Left,Medium
A Zampa,1992-03-31,Right_Hand,Australia,Right,Legbreak
AA Bilakhia,1986-05-31,Right_Hand,India,Right,Medium
AA Chavan,1985-10-28,Right_Hand,India,Left,Orthodox
AA Jhunjhunwala,1982-12-01,Right_Hand,India,Right,Offbreak
AA Kazi,1989-09-29,Right_Hand,India,Left,Orthodox
AA Noffke,1977-04-30,Right_Hand,Australia,Right,Medium-Fast
AB Agarkar,1977-12-04,Right_Hand,India,Right,Fast
AB Barath,1990-04-14,Left_Hand,India,Right,Offbreak
AB de Villiers,1984-02-17,Right_Hand,South Africa,Right,Medium
AB Dinda,1984-03-25,Right_Hand,India,Right,Medium-Fast
AB McDonald,1981-06-05,Right_Hand,Australia,Right,Medium-Fast
Abdur Razzak,1982-06-15,Left_Hand,Bangladesh,Left,Orthodox
